type,time,id,speed,relative_position
,47.7,f_1W.0,13.89,293.3
,47.8,f_1W.0,13.81,294.68
,47.9,f_1W.0,13.88,296.07
,48,f_1W.0,13.79,297.45
,48.1,f_1W.0,13.79,298.83
,48.2,f_1W.0,13.84,300.21
,48.3,f_1W.0,13.87,301.6
,48.4,f_1W.0,13.8,302.98
,48.5,f_1W.0,13.82,304.36
,48.6,f_1W.0,13.8,305.74
,48.7,f_1W.0,13.79,307.12
,48.8,f_1W.0,13.78,308.49
,48.9,f_1W.0,13.81,309.88
,49,f_1W.0,13.84,311.26
,49.1,f_1W.0,13.79,312.64
,49.2,f_1W.0,13.77,314.02
,49.3,f_1W.0,13.77,315.39
,49.4,f_1W.0,13.88,316.78
,49.5,f_1W.0,13.86,318.17
,49.6,f_1W.0,13.81,319.55
,49.7,f_1W.0,13.82,320.93
,49.8,f_1W.0,13.84,322.31
,49.9,f_1W.0,13.82,323.7
,50,f_1W.0,13.84,325.08
,50.1,f_1W.0,13.79,326.46
,50.2,f_1W.0,13.87,327.85
,50.3,f_1W.0,13.85,329.23
,50.4,f_1W.0,13.82,330.61
,50.5,f_1W.0,13.79,331.99
,50.6,f_1W.0,13.77,333.37
,50.7,f_1W.0,13.86,334.76
,50.8,f_1W.0,13.8,336.14
,50.9,f_1W.0,13.79,337.52
,51,f_1W.0,13.8,338.9
,51.1,f_1W.0,13.8,340.27
,51.2,f_1W.0,13.8,341.66
,51.3,f_1W.0,13.85,343.04
,51.4,f_1W.0,13.88,344.43
,51.5,f_1W.0,13.84,345.81
,51.6,f_1W.0,13.81,347.19
,51.7,f_1W.0,13.89,348.58
,51.8,f_1W.0,13.89,349.97
,51.9,f_1W.0,13.88,351.36
,52,f_1W.0,13.85,352.74
,52.1,f_1W.0,13.81,354.13
,52.2,f_1W.0,13.86,355.51
,52.3,f_1W.0,13.88,356.9
,52.4,f_1W.0,13.84,358.28
,52.5,f_1W.0,13.8,359.66
,52.6,f_1W.0,13.85,361.05
,52.7,f_1W.0,13.86,362.43
,52.8,f_1W.0,13.86,363.82
,52.9,f_1W.0,13.86,365.2
,53,f_1W.0,13.88,366.59
,53.1,f_1W.0,13.83,367.98
,53.2,f_1W.0,13.88,369.36
,53.3,f_1W.0,13.86,370.75
,53.4,f_1W.0,13.88,372.14
,53.5,f_1W.0,13.78,373.52
,53.6,f_1W.0,13.8,374.9
,53.7,f_1W.0,13.77,376.27
,53.8,f_1W.0,13.77,377.65
,53.9,f_1W.0,13.86,379.03
,54,f_1W.0,13.87,380.42
,54.1,f_1W.0,13.86,381.81
,54.2,f_1W.0,13.87,383.2
,54.3,f_1W.0,13.78,384.57
,54.4,f_1W.0,13.82,385.96
,54.5,f_1W.0,13.81,387.34
,54.6,f_1W.0,13.82,388.72
,54.7,f_1W.0,13.87,390.1
,54.8,f_1W.0,13.79,391.48
,54.9,f_1W.0,13.77,392.86
,55,f_1W.0,13.8,394.24
,55.1,f_1W.0,13.88,395.63
,55.2,f_1W.0,13.8,397.01
,55.3,f_1W.0,13.84,398.39
,55.4,f_1W.0,13.77,399.77
,55.5,f_1W.0,13.84,401.15
,55.6,f_1W.0,13.78,402.53
,55.7,f_1W.0,13.86,403.92
,55.8,f_1W.0,13.89,405.31
,55.9,f_1W.0,13.87,406.69
,56,f_1W.0,13.8,408.07
,56.1,f_1W.0,13.79,409.45
,56.2,f_1W.0,13.82,410.84
,56.3,f_1W.0,13.87,412.22
,56.4,f_1W.0,13.89,413.61
,56.5,f_1W.0,13.8,414.99
,56.6,f_1W.0,13.86,416.38
,56.7,f_1W.0,13.89,417.77
,56.8,f_1W.0,13.79,419.14
,56.9,f_1W.0,13.87,420.53
,57,f_1W.0,13.86,421.92
,57.1,f_1W.0,13.77,423.29
,57.2,f_1W.0,13.87,424.68
,57.3,f_1W.0,13.85,426.07
,57.4,f_1W.0,13.83,427.45
,57.5,f_1W.0,13.85,428.83
,57.6,f_1W.0,13.82,430.22
,57.7,f_1W.0,13.85,431.6
,57.8,f_1W.0,13.84,432.99
,57.9,f_1W.0,13.77,434.36
,58,f_1W.0,13.85,435.75
,58.1,f_1W.0,13.85,437.13
,58.2,f_1W.0,13.89,438.52
,58.3,f_1W.0,13.84,439.91
,58.4,f_1W.0,13.78,441.28
,58.5,f_1W.0,13.89,442.67
,58.6,f_1W.0,13.85,444.06
,58.7,f_1W.0,13.85,445.44
,58.8,f_1W.0,13.83,446.83
,58.9,f_1W.0,13.87,448.21
,59,f_1W.0,13.88,449.6
,59.1,f_1W.0,13.87,450.99
,59.2,f_1W.0,13.87,452.38
,59.3,f_1W.0,13.84,453.76
,59.4,f_1W.0,13.78,455.14
,59.5,f_1W.0,13.77,456.51
,59.6,f_1W.0,13.85,457.9
,59.7,f_1W.0,13.87,459.29
,59.8,f_1W.0,13.88,460.67
,59.9,f_1W.0,13.86,462.06
,60,f_1W.0,13.61,463.42
,60.1,f_1W.0,13.36,464.76
,60.2,f_1W.0,13.06,466.06
,60.3,f_1W.0,12.76,467.34
,60.4,f_1W.0,12.46,468.58
,60.5,f_1W.0,12.16,469.8
,60.6,f_1W.0,11.86,470.99
,60.7,f_1W.0,11.56,472.14
,60.8,f_1W.0,11.26,473.27
,60.9,f_1W.0,10.96,474.36
,61,f_1W.0,10.66,475.43
,61.1,f_1W.0,10.36,476.46
,61.2,f_1W.0,10.06,477.47
,61.3,f_1W.0,9.76,478.44
,61.4,f_1W.0,9.46,479.39
,61.5,f_1W.0,9.16,480.31
,61.6,f_1W.0,8.86,481.19
,61.7,f_1W.0,8.56,482.05
,61.8,f_1W.0,8.26,482.87
,61.9,f_1W.0,7.96,483.67
,62,f_1W.0,7.66,484.44
